1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,2,1,2,8,8,8,24,24,1,1,8,8,2,2,2,2,2,2,2,2,2
1,3,1,2,7,7,7,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1,4,1,2,23,24,24,24,24,24,4,4,4,4,4,4,4,4,4,4,4,4
1,5,1,2,16,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,6,1,2,16,16,16,16,16,16,16,29,29,21,21,21,21,21,21,21,21,21
1,7,1,2,7,7,7,7,7,7,25,25,25,25,25,25,25,25,25,25,25,25
1,8,1,2,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1,9,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1,10,1,2,18,23,23,1,1,1,26,10,10,10,10,10,10,10,10,10,10,10
1,11,1,2,7,14,14,12,12,12,28,28,28,28,28,28,28,11,11,26,26,26
1,12,1,2,7,8,27,27,27,27,27,27,27,12,12,12,12,12,12,12,12,12
1,13,1,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1,14,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14
1,15,1,2,7,7,7,1,24,24,24,24,24,15,15,15,15,15,15,15,15,15
1,16,1,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1,17,1,2,23,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
1,18,1,2,23,23,24,24,24,18,18,18,18,18,18,18,18,18,18,18,18,18
1,19,1,2,5,5,16,5,5,5,6,19,19,19,19,19,19,19,19,19,19,19
1,20,1,2,16,16,18,18,29,29,29,29,29,21,21,21,21,21,21,21,21,21
1,21,1,2,16,16,16,21,21,21,21,21,29,29,21,21,21,21,21,21,21,21
1,22,1,2,11,11,12,22,22,22,22,22,22,22,22,22,22,22,22,22,26,26
1,23,1,2,23,23,23,23,23,23,23,23,23,23,23,23,15,15,24,24,24,24
1,24,1,2,1,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1,25,1,2,16,18,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1,26,1,2,12,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
1,27,1,2,18,8,8,8,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1,28,1,2,23,17,17,17,12,12,12,12,12,12,24,24,24,24,24,24,24,24
1,29,1,2,18,32,29,29,29,29,29,29,16,29,29,29,29,29,29,29,29,29
1,30,1,2,7,22,23,23,23,23,23,23,9,9,9,9,9,9,1,1,1,1
1,31,1,2,23,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
1,32,1,2,22,26,17,17,17,17,17,17,32,32,32,32,32,32,32,32,32,32
1,33,1,2,33,31,23,23,23,23,23,23,1,1,1,1,1,1,1,1,1,1
