0	0.3446	0.5143	0.1703	-0.1138	0.1915	-0.0396	0.1549	0.0785	0.1436	-0.0596	0.0823	-0.0631	0.1229	0.0479	-0.0762	-0.0274	
0.02	0.3446	0.5073	0.1703	-0.1138	0.207	-0.0173	0.1596	0.0947	0.1661	-0.0592	0.0867	-0.0291	0.1174	0.0612	-0.0282	-0.0313	
0.04	0.3446	0.5003	0.1703	-0.1138	0.2225	0.0049	0.1642	0.1108	0.1885	-0.0588	0.0911	0.005	0.112	0.0745	0.0198	-0.0353	
0.06	0.3445	0.4933	0.1703	-0.1138	0.238	0.0271	0.1689	0.127	0.211	-0.0584	0.0954	0.0391	0.1066	0.0878	0.0679	-0.0392	
0.08	0.3445	0.4864	0.1704	-0.1138	0.2535	0.0493	0.1735	0.1432	0.2334	-0.058	0.0998	0.0732	0.1011	0.1011	0.1159	-0.0432	
0.1	0.3445	0.4789	0.1706	-0.1139	0.2691	0.0711	0.179	0.1585	0.2568	-0.0569	0.1071	0.1056	0.0948	0.1148	0.1611	-0.0465	
0.12	0.3445	0.4736	0.171	-0.1139	0.2806	0.0907	0.1859	0.1751	0.2779	-0.0549	0.1168	0.1414	0.0873	0.1309	0.2037	-0.0499	
0.14	0.3446	0.4702	0.1717	-0.1138	0.2888	0.1095	0.1942	0.1933	0.2986	-0.052	0.1287	0.1813	0.079	0.1487	0.2442	-0.0529	
0.16	0.3446	0.4678	0.1728	-0.1136	0.2944	0.1294	0.2038	0.2123	0.3212	-0.0481	0.1425	0.2254	0.0705	0.1678	0.2831	-0.0552	
0.18	0.3446	0.4657	0.1744	-0.1133	0.2983	0.1518	0.2143	0.2314	0.3474	-0.0431	0.1578	0.2725	0.0627	0.1872	0.3215	-0.0563	
0.2	0.3445	0.4635	0.1764	-0.1126	0.3013	0.1778	0.2255	0.2499	0.3781	-0.037	0.174	0.3214	0.0564	0.2063	0.3602	-0.0558	
0.22	0.3444	0.4612	0.179	-0.1117	0.3035	0.2078	0.237	0.2674	0.4129	-0.0297	0.1905	0.3715	0.0523	0.2246	0.3998	-0.0534	
0.24	0.3441	0.4587	0.182	-0.1104	0.3049	0.2411	0.2486	0.2836	0.4508	-0.0213	0.2066	0.4228	0.051	0.242	0.4405	-0.049	
0.26	0.3435	0.4562	0.1856	-0.1087	0.3053	0.2771	0.2599	0.2985	0.4907	-0.0119	0.2217	0.4754	0.0526	0.2586	0.4817	-0.0428	
0.28	0.3428	0.4539	0.1895	-0.1066	0.3049	0.3147	0.2708	0.3119	0.5316	-0.0016	0.2357	0.5288	0.0572	0.2749	0.523	-0.0349	
0.3	0.3417	0.4516	0.1938	-0.104	0.3036	0.3526	0.2811	0.3233	0.5727	0.0094	0.2484	0.5815	0.0644	0.2916	0.5636	-0.0258	
0.32	0.3403	0.4495	0.1983	-0.101	0.3017	0.3898	0.2908	0.3326	0.6128	0.021	0.2603	0.6319	0.0741	0.3093	0.6033	-0.0157	
0.34	0.3385	0.4474	0.2029	-0.0978	0.2992	0.4251	0.2996	0.3397	0.6507	0.0331	0.2717	0.6791	0.0862	0.3281	0.6419	-0.0044	
0.36	0.3363	0.4455	0.2075	-0.0942	0.2963	0.4573	0.3076	0.3451	0.686	0.0462	0.2828	0.7238	0.1005	0.3481	0.6797	0.0084	
0.38	0.3339	0.4437	0.212	-0.0905	0.293	0.4861	0.3149	0.3496	0.7185	0.0607	0.294	0.7677	0.1172	0.3691	0.7173	0.0236	
0.4	0.3311	0.442	0.2164	-0.0867	0.2894	0.5112	0.3213	0.354	0.7491	0.0774	0.3053	0.8131	0.1361	0.3907	0.7558	0.0423	
0.42	0.3281	0.4405	0.2207	-0.083	0.2855	0.533	0.3272	0.3588	0.7791	0.0965	0.3166	0.8615	0.1568	0.4125	0.7963	0.0658	
0.44	0.325	0.4392	0.2248	-0.0793	0.2813	0.552	0.3325	0.3642	0.8096	0.1185	0.3279	0.9132	0.1792	0.4341	0.8398	0.0951	
0.46	0.3219	0.4381	0.2286	-0.0757	0.2769	0.569	0.3375	0.3702	0.8415	0.1433	0.3391	0.9679	0.2028	0.4549	0.8866	0.1306	
0.48	0.3187	0.4373	0.2323	-0.0724	0.2723	0.5843	0.3422	0.3765	0.8753	0.1708	0.3503	1.0243	0.2276	0.4744	0.9361	0.1723	
0.5	0.3157	0.4367	0.2358	-0.0694	0.2676	0.5983	0.347	0.3829	0.9109	0.2004	0.3615	1.0811	0.2533	0.4921	0.9871	0.2193	
0.52	0.3127	0.4364	0.2392	-0.0669	0.2628	0.6111	0.3518	0.3889	0.9477	0.2315	0.3729	1.1367	0.2794	0.5079	1.0378	0.2705	
0.54	0.3099	0.4364	0.2425	-0.065	0.2579	0.6226	0.3569	0.3943	0.9849	0.2631	0.3848	1.1901	0.3049	0.5219	1.0866	0.3243	
0.56	0.3073	0.4368	0.2457	-0.0639	0.253	0.6332	0.3623	0.399	1.0212	0.294	0.3973	1.2399	0.329	0.5347	1.1318	0.3786	
